P|SA|Name|CLAT|CLON|SLAT|ELAT|SLON|ELON|DIR|DIAM|CT|ET|QUAD|MAP|AS|AD|REF|FT|Origin
"E"|"m"|"Bohnenberger D"|-18.3|42.6|||||"E"|14.0|"EU"|"GE"|"LAC 79"|"LAC 79"|5|2006|68|"SF"|"Johann Gottlieb Friedrich Von; German astronomer (1765-1831)."
"E"|"m"|"Bohnenberger E"|-17.4|42.1|||||"E"|13.0|"EU"|"GE"|"LAC 79"|"LAC 79"|5|2006|68|"SF"|"Johann Gottlieb Friedrich Von; German astronomer (1765-1831)."
"E"|"m"|"Bohnenberger F"|-14.7|39.6|||||"E"|10.0|"EU"|"GE"|"LAC 79"|"LAC 79"|5|2006|68|"SF"|"Johann Gottlieb Friedrich Von; German astronomer (1765-1831)."
"E"|"m"|"Bohnenberger G"|-17.2|40.1|||||"E"|12.0|"EU"|"GE"|"LAC 79"|"LAC 79"|5|2006|68|"SF"|"Johann Gottlieb Friedrich Von; German astronomer (1765-1831)."
"E"|"m"|"Bohnenberger J"|-14.8|40.3|||||"E"|5.0|"EU"|"GE"|"LAC 79"|"LAC 79"|5|2006|68|"SF"|"Johann Gottlieb Friedrich Von; German astronomer (1765-1831)."
"E"|"m"|"Bohnenberger N"|-17.9|41.9|||||"E"|6.0|"EU"|"GE"|"LAC 79"|"LAC 79"|5|2006|68|"SF"|"Johann Gottlieb Friedrich Von; German astronomer (1765-1831)."
"E"|"m"|"Bohnenberger P"|-19.1|41.4|||||"E"|11.0|"EU"|"GE"|"LAC 79"|"LAC 79"|5|2006|68|"SF"|"Johann Gottlieb Friedrich Von; German astronomer (1765-1831)."
"E"|"m"|"Bohnenberger W"|-18.2|41.1|||||"E"|10.0|"EU"|"GE"|"LAC 79"|"LAC 79"|5|2006|68|"SF"|"Johann Gottlieb Friedrich Von; German astronomer (1765-1831)."
"E"|"m"|"Bok C"|-19.1|-170.2|||||"E"|27.0|"NA"|"AM"|"LM 104"|"LM 104"|5|2006|68|"SF"|"Priscilla Fairfield; American astronomer (1896-1975), Bart Jan; Dutch-American astronomer (1906-1983)."
"E"|"m"|"Bolyai D"|-32.5|128.0|||||"E"|34.0|"EU"|"HU"|"LOC-3"|"LOC-3"|5|2006|0|"SF"|"Janos; Hungarian mathematician (1802-1860)."
"E"|"m"|"Bolyai K"|-36.3|126.8|||||"E"|29.0|"EU"|"HU"|"LOC-3"|"LOC-3"|5|2006|0|"SF"|"Janos; Hungarian mathematician (1802-1860)."
"E"|"m"|"Bolyai L"|-36.3|126.2|||||"E"|73.0|"EU"|"HU"|"LOC-3"|"LOC-3"|5|2006|0|"SF"|"Janos; Hungarian mathematician (1802-1860)."
"E"|"m"|"Bolyai Q"|-36.1|122.5|||||"E"|28.0|"EU"|"HU"|"LOC-3"|"LOC-3"|5|2006|0|"SF"|"Janos; Hungarian mathematician (1802-1860)."
"E"|"m"|"Bolyai W"|-32.2|123.9|||||"E"|50.0|"EU"|"HU"|"LOC-3"|"LOC-3"|5|2006|0|"SF"|"Janos; Hungarian mathematician (1802-1860)."
"E"|"m"|"Bonpland C"|-10.2|-17.4|||||"E"|4.0|"EU"|"FR"|"LTO76C1"|"LTO-76C1"|5|2006|75|"SF"|"Aimé-Jacques-Alexandre; French botanist (1773-1858)."
"E"|"m"|"Bonpland D"|-10.1|-18.2|||||"E"|6.0|"EU"|"FR"|"LTO76C1"|"LTO-76C1"|5|2006|75|"SF"|"Aimé-Jacques-Alexandre; French botanist (1773-1858)."
"E"|"m"|"Bonpland F"|-7.3|-19.3|||||"E"|4.0|"EU"|"FR"|"LTO76C1"|"LTO-76C1"|5|2006|75|"SF"|"Aimé-Jacques-Alexandre; French botanist (1773-1858)."
"E"|"m"|"Bonpland G"|-11.6|-18.8|||||"E"|4.0|"EU"|"FR"|"LTO76C1"|"LTO-76C1"|5|2006|75|"SF"|"Aimé-Jacques-Alexandre; French botanist (1773-1858)."
"E"|"m"|"Bonpland H"|-11.4|-19.9|||||"E"|4.0|"EU"|"FR"|"LTO76C1"|"LTO-76C1"|5|2006|75|"SF"|"Aimé-Jacques-Alexandre; French botanist (1773-1858)."
"E"|"m"|"Bonpland J"|-11.4|-20.4|||||"E"|3.0|"EU"|"FR"|"LTO76C1"|"LTO-76C1"|5|2006|75|"SF"|"Aimé-Jacques-Alexandre; French botanist (1773-1858)."
"E"|"m"|"Bonpland L"|-7.5|-21.2|||||"E"|3.0|"EU"|"FR"|"LTO76C1"|"LTO-76C1"|5|2006|75|"SF"|"Aimé-Jacques-Alexandre; French botanist (1773-1858)."
"E"|"m"|"Bonpland N"|-9.4|-21.4|||||"E"|3.0|"EU"|"FR"|"LTO76C1"|"LTO-76C1"|5|2006|75|"SF"|"Aimé-Jacques-Alexandre; French botanist (1773-1858)."
"E"|"m"|"Bonpland P"|-10.9|-21.5|||||"E"|1.0|"EU"|"FR"|"LTO76C1"|"LTO-76C1"|5|2006|75|"SF"|"Aimé-Jacques-Alexandre; French botanist (1773-1858)."
"E"|"m"|"Bonpland R"|-10.7|-18.6|||||"E"|3.0|"EU"|"FR"|"LTO76C1"|"LTO-76C1"|5|2006|75|"SF"|"Aimé-Jacques-Alexandre; French botanist (1773-1858)."
"E"|"m"|"Boole A"|63.6|-80.6|||||"E"|56.0|"EU"|"GB"|"LMP-3"|"LMP-3"|5|2006|0|"SF"|"George; British mathematician (1815-1864)."
"E"|"m"|"Boole B"|63.6|-77.3|||||"E"|9.0|"EU"|"GB"|"LMP-3"|"LMP-3"|5|2006|0|"SF"|"George; British mathematician (1815-1864)."
"E"|"m"|"Boole C"|65.4|-82.5|||||"E"|18.0|"EU"|"GB"|"LMP-3"|"LMP-3"|5|2006|0|"SF"|"George; British mathematician (1815-1864)."
"E"|"m"|"Boole D"|64.0|-83.5|||||"E"|10.0|"EU"|"GB"|"LMP-3"|"LMP-3"|5|2006|0|"SF"|"George; British mathematician (1815-1864)."
"E"|"m"|"Boole E"|62.9|-84.6|||||"E"|16.0|"EU"|"GB"|"LMP-3"|"LMP-3"|5|2006|0|"SF"|"George; British mathematician (1815-1864)."
"E"|"m"|"Boole F"|64.2|-79.4|||||"E"|34.0|"EU"|"GB"|"LMP-3"|"LMP-3"|5|2006|0|"SF"|"George; British mathematician (1815-1864)."
"E"|"m"|"Boole G"|64.8|-90.9|||||"E"|41.0|"EU"|"GB"|"LMP-3"|"LMP-3"|5|2006|0|"SF"|"George; British mathematician (1815-1864)."
"E"|"m"|"Boole H"|61.6|-88.9|||||"E"|75.0|"EU"|"GB"|"LMP-3"|"LMP-3"|5|2006|0|"SF"|"George; British mathematician (1815-1864)."
"E"|"m"|"Boole R"|64.4|-78.0|||||"E"|13.0|"EU"|"GB"|"LMP-3"|"LMP-3"|5|2006|0|"SF"|"George; British mathematician (1815-1864)."
"E"|"m"|"Borda A"|-26.8|51.0|||||"E"|19.0|"EU"|"FR"|"LAC 97"|"LAC 97"|5|2006|68|"SF"|"Jean Charles de; French astronomer (1733-1799)."
"E"|"m"|"Borda D"|-24.5|46.3|||||"E"|6.0|"EU"|"FR"|"LAC 97"|"LAC 97"|5|2006|68|"SF"|"Jean Charles de; French astronomer (1733-1799)."
"E"|"m"|"Borda E"|-24.0|45.5|||||"E"|12.0|"EU"|"FR"|"LAC 97"|"LAC 97"|5|2006|68|"SF"|"Jean Charles de; French astronomer (1733-1799)."
"E"|"m"|"Borda F"|-26.3|47.5|||||"E"|11.0|"EU"|"FR"|"LAC 97"|"LAC 97"|5|2006|68|"SF"|"Jean Charles de; French astronomer (1733-1799)."
"E"|"m"|"Borda G"|-26.2|45.4|||||"E"|6.0|"EU"|"FR"|"LAC 97"|"LAC 97"|5|2006|68|"SF"|"Jean Charles de; French astronomer (1733-1799)."
"E"|"m"|"Borda H"|-26.7|46.7|||||"E"|10.0|"EU"|"FR"|"LAC 97"|"LAC 97"|5|2006|68|"SF"|"Jean Charles de; French astronomer (1733-1799)."
"E"|"m"|"Borda J"|-26.9|47.0|||||"E"|17.0|"EU"|"FR"|"LAC 97"|"LAC 97"|5|2006|68|"SF"|"Jean Charles de; French astronomer (1733-1799)."
"E"|"m"|"Borda K"|-27.5|47.2|||||"E"|12.0|"EU"|"FR"|"LAC 97"|"LAC 97"|5|2006|68|"SF"|"Jean Charles de; French astronomer (1733-1799)."
"E"|"m"|"Borda L"|-27.0|47.7|||||"E"|12.0|"EU"|"FR"|"LAC 97"|"LAC 97"|5|2006|68|"SF"|"Jean Charles de; French astronomer (1733-1799)."
"E"|"m"|"Borda M"|-25.4|43.9|||||"E"|15.0|"EU"|"FR"|"LAC 97"|"LAC 97"|5|2006|68|"SF"|"Jean Charles de; French astronomer (1733-1799)."
"E"|"m"|"Borda R"|-27.4|50.5|||||"E"|17.0|"EU"|"FR"|"LAC 97"|"LAC 97"|5|2006|68|"SF"|"Jean Charles de; French astronomer (1733-1799)."
"E"|"m"|"[Borman A]"|-35.7|-147.3|||||"E"|29.0|"NA"|"AM"|"LOC-4"|"LOC-4"|6|2006|0|"SF"|"Frank; American astronaut, engineer (1928-Live). <em>Note: Renamed McNair</em>"
"E"|"m"|"[Borman L]"|-40.1|-147.2|||||"E"|28.0|"NA"|"AM"|"LOC-4"|"LOC-4"|6|2006|0|"SF"|"Frank; American astronaut, engineer (1928-Live). <em>Note: Renamed Husband</em>"
"E"|"m"|"Borman V"|-37.4|-150.6|||||"E"|28.0|"NA"|"AM"|"LOC-4"|"LOC-4"|5|2006|0|"SF"|"Frank; American astronaut, engineer (1928-Live)."
"E"|"m"|"[Borman X]"|-33.8|-150.2|||||"E"|12.0|"NA"|"AM"|"LOC-4"|"LOC-4"|6|2006|0|"SF"|"Frank; American astronaut, engineer (1928-Live). <em>Note: Renamed Resnik</em>"
"E"|"m"|"[Borman Y]"|-33.0|-148.9|||||"E"|19.0|"NA"|"AM"|"LOC-4"|"LOC-4"|6|2006|0|"SF"|"Frank; American astronaut, engineer (1928-Live). <em>Note: Renamed McAuliffe</em>"
"E"|"m"|"[Borman Z]"|-34.9|-147.5|||||"E"|38.0|"NA"|"AM"|"LOC-4"|"LOC-4"|6|2006|0|"SF"|"Frank; American astronaut, engineer (1928-Live). <em>Note: Renamed Jarvis</em>"
"E"|"m"|"Boscovich A"|9.5|12.6|||||"E"|6.0|"EU"|"IT"|"LAC 60"|"LAC 60"|5|2006|89|"SF"|"Rudjer J.; Italian physicist (1711-1787)."
"E"|"m"|"Boscovich B"|9.8|9.2|||||"E"|5.0|"EU"|"IT"|"LAC 60"|"LAC 60"|5|2006|89|"SF"|"Rudjer J.; Italian physicist (1711-1787)."
"E"|"m"|"Boscovich C"|8.5|12.0|||||"E"|3.0|"EU"|"IT"|"LAC 60"|"LAC 60"|5|2006|89|"SF"|"Rudjer J.; Italian physicist (1711-1787)."
"E"|"m"|"Boscovich D"|9.0|12.2|||||"E"|5.0|"EU"|"IT"|"LAC 60"|"LAC 60"|5|2006|89|"SF"|"Rudjer J.; Italian physicist (1711-1787)."
"E"|"m"|"Boscovich E"|9.0|12.7|||||"E"|21.0|"EU"|"IT"|"LAC 60"|"LAC 60"|5|2006|89|"SF"|"Rudjer J.; Italian physicist (1711-1787)."
"E"|"m"|"Boscovich F"|10.6|11.4|||||"E"|5.0|"EU"|"IT"|"LAC 60"|"LAC 60"|5|2006|89|"SF"|"Rudjer J.; Italian physicist (1711-1787)."
"E"|"m"|"Boscovich P"|11.5|10.3|||||"E"|67.0|"EU"|"IT"|"LAC 60"|"LAC 60"|5|2006|89|"SF"|"Rudjer J.; Italian physicist (1711-1787)."
"E"|"m"|"Bose A"|-49.3|-166.5|||||"E"|28.0|"AS"|"IN"|"LMP-3"|"LMP-3"|5|2006|75|"SF"|"Jagadis Chandra; Indian botanist, physicist (1858-1937)."
"E"|"m"|"Bose D"|-52.7|-166.1|||||"E"|20.0|"AS"|"IN"|"LMP-3"|"LMP-3"|5|2006|75|"SF"|"Jagadis Chandra; Indian botanist, physicist (1858-1937)."
"E"|"m"|"Bose U"|-52.8|-174.6|||||"E"|38.0|"AS"|"IN"|"LMP-3"|"LMP-3"|5|2006|75|"SF"|"Jagadis Chandra; Indian botanist, physicist (1858-1937)."
"E"|"m"|"Boss A"|52.3|80.3|||||"E"|27.0|"NA"|"AM"|"LMP-3"|"LMP-3"|5|2006|67|"SF"|"Lewis; American astronomer (1846-1912)."
"E"|"m"|"Boss B"|52.0|77.1|||||"E"|12.0|"NA"|"AM"|"LMP-3"|"LMP-3"|5|2006|67|"SF"|"Lewis; American astronomer (1846-1912)."
"E"|"m"|"Boss C"|52.2|76.4|||||"E"|21.0|"NA"|"AM"|"LMP-3"|"LMP-3"|5|2006|67|"SF"|"Lewis; American astronomer (1846-1912)."
"E"|"m"|"Boss D"|44.9|87.4|||||"E"|15.0|"NA"|"AM"|"LMP-3"|"LMP-3"|5|2006|67|"SF"|"Lewis; American astronomer (1846-1912)."
"E"|"m"|"Boss F"|54.5|86.8|||||"E"|36.0|"NA"|"AM"|"LMP-3"|"LMP-3"|5|2006|67|"SF"|"Lewis; American astronomer (1846-1912)."
"E"|"m"|"Boss K"|49.6|80.7|||||"E"|19.0|"NA"|"AM"|"LMP-3"|"LMP-3"|5|2006|67|"SF"|"Lewis; American astronomer (1846-1912)."
"E"|"m"|"Boss L"|50.9|82.3|||||"E"|40.0|"NA"|"AM"|"LMP-3"|"LMP-3"|5|2006|67|"SF"|"Lewis; American astronomer (1846-1912)."
"E"|"m"|"Boss M"|52.0|83.8|||||"E"|13.0|"NA"|"AM"|"LMP-3"|"LMP-3"|5|2006|67|"SF"|"Lewis; American astronomer (1846-1912)."
"E"|"m"|"Boss N"|52.2|85.2|||||"E"|16.0|"NA"|"AM"|"LMP-3"|"LMP-3"|5|2006|67|"SF"|"Lewis; American astronomer (1846-1912)."
"E"|"m"|"Bouguer A"|52.5|-33.8|||||"E"|8.0|"EU"|"FR"|"LAC 11"|"LAC 11"|5|2006|66|"SF"|"Pierre; French hydrographer (1698-1758)."
"E"|"m"|"Bouguer B"|53.3|-33.0|||||"E"|7.0|"EU"|"FR"|"LAC 11"|"LAC 11"|5|2006|66|"SF"|"Pierre; French hydrographer (1698-1758)."
"E"|"m"|"Boussingault A"|-69.9|54.0|||||"E"|72.0|"EU"|"FR"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Jean Baptiste Dieudonne; French chemist (1802-1887)."
"E"|"m"|"Boussingault B"|-65.6|46.9|||||"E"|54.0|"EU"|"FR"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Jean Baptiste Dieudonne; French chemist (1802-1887)."
"E"|"m"|"Boussingault C"|-65.1|48.2|||||"E"|24.0|"EU"|"FR"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Jean Baptiste Dieudonne; French chemist (1802-1887)."
"E"|"m"|"Boussingault D"|-63.5|44.9|||||"E"|9.0|"EU"|"FR"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Jean Baptiste Dieudonne; French chemist (1802-1887)."
"E"|"m"|"Boussingault E"|-67.2|46.8|||||"E"|98.0|"EU"|"FR"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Jean Baptiste Dieudonne; French chemist (1802-1887)."
"E"|"m"|"Boussingault F"|-68.8|39.4|||||"E"|16.0|"EU"|"FR"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Jean Baptiste Dieudonne; French chemist (1802-1887)."
"E"|"m"|"Boussingault G"|-71.4|51.8|||||"E"|5.0|"EU"|"FR"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Jean Baptiste Dieudonne; French chemist (1802-1887)."
"E"|"m"|"Boussingault K"|-68.9|50.9|||||"E"|29.0|"EU"|"FR"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Jean Baptiste Dieudonne; French chemist (1802-1887)."
"E"|"m"|"Boussingault N"|-71.5|62.1|||||"E"|15.0|"EU"|"FR"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Jean Baptiste Dieudonne; French chemist (1802-1887)."
"E"|"m"|"Boussingault P"|-67.1|45.1|||||"E"|13.0|"EU"|"FR"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Jean Baptiste Dieudonne; French chemist (1802-1887)."
"E"|"m"|"Boussingault R"|-64.3|48.6|||||"E"|12.0|"EU"|"FR"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Jean Baptiste Dieudonne; French chemist (1802-1887)."
"E"|"m"|"Boussingault S"|-64.1|46.9|||||"E"|16.0|"EU"|"FR"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Jean Baptiste Dieudonne; French chemist (1802-1887)."
"E"|"m"|"Boussingault T"|-63.0|43.2|||||"E"|20.0|"EU"|"FR"|"LMP-3"|"LMP-3"|5|2006|66|"SF"|"Jean Baptiste Dieudonne; French chemist (1802-1887)."
"E"|"m"|"Bouvard B"|-41.7|-79.7|||||"E"|25.0|"EU"|"FR"|"LMP-1"|"LMP-1"|5|2006|0|"SF"|"Named for Vallis Bouvard."
"E"|"m"|"Bouvard C"|-37.1|-77.3|||||"E"|16.0|"EU"|"FR"|"LMP"|"086D4"|5|2006|0|"SF"|"Alexis; French astronomer, mathematician (1767-1843)."
"E"|"m"|"Bouvard D"|-42.8|-80.5|||||"E"|26.0|"EU"|"FR"|"LMP-1"|"LMP-1"|5|2006|0|"SF"|"Alexis; French astronomer, mathematician (1767-1843)."
"E"|"m"|"Bouvard E"|-41.9|-77.4|||||"E"|14.0|"EU"|"FR"|"LMP-1"|"LMP-1"|5|2006|0|"SF"|"Alexis; French astronomer, mathematician (1767-1843)."
"E"|"m"|"Bouvard F"|-42.5|-76.4|||||"E"|11.0|"EU"|"FR"|"LMP-1"|"LMP-1"|5|2006|0|"SF"|"Alexis; French astronomer, mathematician (1767-1843)."
"E"|"m"|"Bouvard G"|-42.1|-74.6|||||"E"|21.0|"EU"|"FR"|"LMP-1"|"LMP-1"|5|2006|0|"SF"|"Alexis; French astronomer, mathematician (1767-1843)."
"E"|"m"|"Bouvard M"|-40.6|-77.4|||||"E"|69.0|"EU"|"FR"|"LMP-1"|"LMP-1"|5|2006|0|"SF"|"Alexis; French astronomer, mathematician (1767-1843)."
"E"|"m"|"Bouvard N"|-38.6|-76.5|||||"E"|66.0|"EU"|"FR"|"LMP-1"|"LMP-1"|5|2006|0|"SF"|"Alexis; French astronomer, mathematician (1767-1843)."
"E"|"m"|"Bouvard P"|-39.0|-75.0|||||"E"|13.0|"EU"|"FR"|"LMP-1"|"LMP-1"|5|2006|0|"SF"|"Alexis; French astronomer, mathematician (1767-1843)."
"E"|"m"|"Bouvard R"|-35.5|-84.2|||||"E"|8.0|"EU"|"FR"|"LMP-1"|"LMP-1"|5|2006|0|"SF"|"Alexis; French astronomer, mathematician (1767-1843)."
"E"|"m"|"Bouvard S"|-35.6|-80.5|||||"E"|12.0|"EU"|"FR"|"LMP-1"|"LMP-1"|5|2006|0|"SF"|"Alexis; French astronomer, mathematician (1767-1843)."
"E"|"m"|"Bowditch M"|-26.7|103.3|||||"E"|16.0|"NA"|"AM"|"LTO100C1"|"LTO-100C1"|5|2006|0|"SF"|"Nathaniel; American astronomer, mathematician (1773-1848)."
"E"|"m"|"Bowditch N"|-26.6|102.8|||||"E"|16.0|"NA"|"AM"|"LTO100C1"|"LTO-100C1"|5|2006|0|"SF"|"Nathaniel; American astronomer, mathematician (1773-1848)."
"E"|"m"|"Boyle A"|-50.8|178.3|||||"E"|21.0|"EU"|"GB"|"LMP-3"|"LMP-3"|5|2006|0|"SF"|"Robert; British natural philosopher, chemist (1627-1691)."
"E"|"m"|"Boyle Z"|-51.3|177.7|||||"E"|52.0|"EU"|"GB"|"LMP-3"|"LMP-3"|5|2006|0|"SF"|"Robert; British natural philosopher, chemist (1627-1691)."
"E"|"m"|"Bradley H"|22.9|-0.3|||||"E"|5.0|"EU"|"GB"|"LTO41B4"|"LTO-41B4"|5|2006|89|"SF"|"Named for Rima Bradley."
"E"|"m"|"Bradley K"|23.3|-0.7|||||"E"|4.0|"EU"|"GB"|"LTO41B4"|"LTO-41B4"|5|2006|89|"SF"|"Named for Rima Bradley."
"E"|"m"|"Bragg H"|41.7|-101.0|||||"E"|40.0|"OC"|"AU"|"LMP-2"|"LMP-2"|5|2006|75|"SF"|"Sir William Henry; Australian physicist; Nobel laureate (1862-1942)."
"E"|"m"|"Bragg M"|39.1|-102.5|||||"E"|45.0|"OC"|"AU"|"LMP-2"|"LMP-2"|5|2006|75|"SF"|"Sir William Henry; Australian physicist; Nobel laureate (1862-1942)."
"E"|"m"|"Bragg P"|40.0|-104.4|||||"E"|30.0|"OC"|"AU"|"LMP-2"|"LMP-2"|5|2006|75|"SF"|"Sir William Henry; Australian physicist; Nobel laureate (1862-1942)."
"E"|"m"|"Brashear P"|-76.8|-175.7|||||"E"|71.0|"NA"|"AM"|"LMP-3"|"LMP-3"|5|2006|68|"SF"|"John Alfred; American astronomer (1840-1920)."
"E"|"m"|"Brayley B"|20.8|-34.3|||||"E"|10.0|"EU"|"GB"|"LTO39C1"|"LTO-39C1"|5|2006|66|"SF"|"Edward William; British geographer (1801-1870)."
"E"|"m"|"Brayley C"|21.4|-39.4|||||"E"|9.0|"EU"|"GB"|"LTO39C1"|"LTO-39C1"|5|2006|66|"SF"|"Edward William; British geographer (1801-1870)."
"E"|"m"|"Brayley D"|20.1|-32.8|||||"E"|6.0|"EU"|"GB"|"LTO39C1"|"LTO-39C1"|5|2006|66|"SF"|"Edward William; British geographer (1801-1870)."
"E"|"m"|"Brayley E"|21.2|-39.7|||||"E"|5.0|"EU"|"GB"|"LTO39C1"|"LTO-39C1"|5|2006|66|"SF"|"Edward William; British geographer (1801-1870)."
"E"|"m"|"Brayley F"|21.1|-34.0|||||"E"|5.0|"EU"|"GB"|"LTO39C1"|"LTO-39C1"|5|2006|66|"SF"|"Edward William; British geographer (1801-1870)."
"E"|"m"|"Brayley G"|24.2|-36.5|||||"E"|5.0|"EU"|"GB"|"LTO39C1"|"LTO-39C1"|5|2006|66|"SF"|"Edward William; British geographer (1801-1870)."
"E"|"m"|"Brayley K"|21.2|-41.7|||||"E"|3.0|"EU"|"GB"|"LTO39C1"|"LTO-39C1"|5|2006|66|"SF"|"Edward William; British geographer (1801-1870)."
"E"|"m"|"Brayley L"|20.9|-42.6|||||"E"|4.0|"EU"|"GB"|"LTO39C1"|"LTO-39C1"|5|2006|66|"SF"|"Edward William; British geographer (1801-1870)."
"E"|"m"|"Brayley S"|25.0|-36.7|||||"E"|3.0|"EU"|"GB"|"LTO39C1"|"LTO-39C1"|5|2006|66|"SF"|"Edward William; British geographer (1801-1870)."
"E"|"m"|"Bredikhin B"|19.0|-157.4|||||"E"|18.0|"UR"|"RU"|"LOC-4"|"LOC-4"|5|2006|89|"SF"|"Fedor Aleksandrovich; Russian astronomer (1831-1904)."
"E"|"m"|"Breislak A"|-47.0|17.4|||||"E"|7.0|"EU"|"IT"|"LAC 113"|"LAC 113"|5|2006|66|"SF"|"Scipione; Italian chemist, geologist, mathematician (1748-1826)."
"E"|"m"|"Breislak B"|-47.6|18.1|||||"E"|7.0|"EU"|"IT"|"LAC 113"|"LAC 113"|5|2006|66|"SF"|"Scipione; Italian chemist, geologist, mathematician (1748-1826)."
"E"|"m"|"Breislak C"|-48.9|18.8|||||"E"|6.0|"EU"|"IT"|"LAC 113"|"LAC 113"|5|2006|66|"SF"|"Scipione; Italian chemist, geologist, mathematician (1748-1826)."
"E"|"m"|"Breislak D"|-48.0|18.7|||||"E"|5.0|"EU"|"IT"|"LAC 113"|"LAC 113"|5|2006|66|"SF"|"Scipione; Italian chemist, geologist, mathematician (1748-1826)."
"E"|"m"|"Breislak E"|-47.7|19.1|||||"E"|8.0|"EU"|"IT"|"LAC 113"|"LAC 113"|5|2006|66|"SF"|"Scipione; Italian chemist, geologist, mathematician (1748-1826)."
"E"|"m"|"Breislak F"|-48.4|19.4|||||"E"|7.0|"EU"|"IT"|"LAC 113"|"LAC 113"|5|2006|66|"SF"|"Scipione; Italian chemist, geologist, mathematician (1748-1826)."
"E"|"m"|"Breislak G"|-46.9|19.1|||||"E"|16.0|"EU"|"IT"|"LAC 113"|"LAC 113"|5|2006|66|"SF"|"Scipione; Italian chemist, geologist, mathematician (1748-1826)."
"E"|"m"|"Brenner A"|-40.4|40.0|||||"E"|32.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner B"|-37.4|41.8|||||"E"|10.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner C"|-36.5|41.9|||||"E"|7.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner D"|-36.2|38.7|||||"E"|8.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner E"|-38.9|40.5|||||"E"|14.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner F"|-40.6|37.0|||||"E"|14.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner H"|-36.9|38.7|||||"E"|8.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner J"|-37.7|36.6|||||"E"|8.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner K"|-38.0|37.3|||||"E"|7.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner L"|-38.1|36.6|||||"E"|5.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner M"|-38.8|36.9|||||"E"|7.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner N"|-39.0|36.7|||||"E"|7.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner P"|-38.8|35.3|||||"E"|7.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner Q"|-39.2|35.9|||||"E"|8.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner R"|-40.7|38.3|||||"E"|10.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
"E"|"m"|"Brenner S"|-38.4|36.2|||||"E"|6.0|"EU"|"AS"|"LAC 114"|"LAC 114"|5|2006|168|"SF"|"Leo (Spiridon Gopcevic); Austrian astronomer (1855-1928)."
